7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
afl++ 4.32c-2
afpfs-ng 0.8.2-4
aircrack-ng 1.7-5
airspy 1.0.10-4
alsa-card-profiles 1:1.4.7-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
android-sdk-platform-tools r33.0.0-1
android-tools 35.0.2-17
android-udev 20250525-1
aom 3.12.1-1
apk-tools 2.14.10-1
apparmor 4.1.1-3
appstream 1.0.5-2
appstream-glib 0.8.3-2
apr 1.7.6-1
apr-util 1.6.3-2
arch-install-scripts 29-1
archlinux-keyring 20250716-1
argon2 20190702-6
aribb24 1.0.3-4
arp-scan 1.10.0-4
asciiquarium 1.1-7
asio 1.34.2-1
at-spi2-core 2.56.3-1
atftp 0.8.0-5
atkmm 2.28.4-1
attr 2.5.2-1
atuin 18.7.1-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
babl 0.1.114-1
bandit 1.8.6-1
base 3-2
base-devel 1-2
bash 5.3.3-1
bat 0.25.0-4
batctl 2023.1-2
bc 1.08.2-1
bcg729 1.1.1-2
bettercap 2.41.0-1
bibata-rainbow-cursor-theme 1.1.2-2
bind 9.20.11-1
binutils 2.44+r94+gfe459e33c676-1
binwalk 3.1.0-1
bison 3.8.2-8
blackarch-config-cursor 3.08b06e5-1
blackarch-config-fluxbox 41.a172928-1
blackarch-keyring 20180925-5
blackarch-mirrorlist 20250724-1
blackarch-officials 20250726-1
blackarch-wallpaper 1:3.0-2
bladerf 2024.05-1
blas 3.12.1-2
bless 0.6.3-2
bluez 5.83-1
bluez-libs 5.83-1
boost 1.88.0-3
boost-libs 1.88.0-3
breeze-icons 6.16.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btop 1.4.4-1
bubblewrap 0.11.0-1
bully 1.4.00-1
burpsuite 1:2025.7.1-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.114-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cadaver 0.26-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calcurse 4.8.1-2
capstone 5.0.6-1
cargo-auditable 0.7.0-1
castxml 0.6.11-3
cava 0.10.4-3
cbindgen 0.29.0-1
cblas 3.12.1-2
cdparanoia 10.2-9
cewl 189.447ccc1-3
cfr 0.152-3
chafa 1.16.0-1
checksec 2.7.1-1
chntpw 140201-5
cifs-utils 7.4-1
clamav 1.4.3-1
clang 20.1.8-1
clash 1.18.0-1
clisp 2.49.95-3
clucene 2.3.3.4-16
cmake 4.0.3-1
cmatrix 2.0-4
codec2 1:1.2.0-1
coin 4.0.4-1
compiler-rt 20.1.8-1
composefs 1.0.8-1
confuse 3.3-4
containerd 2.1.3-1
coreutils 9.7-1
corkscrew 2.0-8
cosmic-icon-theme 1.0.0.alpha.7-1
cowpatty 4.8-4
cowsay 3.8.4-1
cpio 2.15-3
cppcheck 2.18.0-1
cppdap 1.58.0-2
crosstool-ng 1.27.0-2
crunch 3.6-2
cryptsetup 2.8.0-1
cupp 77.56547fd-3
curl 8.15.0-1
cwm-debug 7.4-3
cython 3.1.2-1
darkstat 3.0.721-4
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.40.0-3
ddrescue 1.29.1-1
debugedit 5.2-1
debuginfod 0.193-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.33-1
diffutils 3.12-2
discount 3.0.0.d-1
distorm 3.5.2.b-4
dive 0.13.0-1
djvulibre 3.5.29-1
dkms 3.2.1-1
dmenu 5.3-3
dnsmasq 2.91-1
dnspy 6.1.8-2
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.3.2-1
doom_ascii-debug 0.2.1-2
dotconf 1.4.1-1
double-conversion 3.3.1-1
dpdk 24.11.2-1
dscanner 0.15.2-2
